subject_id,n_answers,mean_SAC_correct_vec_both,mean_SAC_total_vec_both,weighted_score_50_50,weighted_score_30_70,pct_systems_thinking
54,4,0.5656,0.5656,0.7828,0.6959,86.36
45,1,0.7047,0.7047,0.8524,0.7933,84.21
27,7,0.3956,0.3956,0.6978,0.5769,84.0
14,6,0.4146,0.4146,0.7073,0.5902,83.33
57,5,0.2328,0.2328,0.6164,0.4629,78.26
68,6,0.2119,0.2119,0.6059,0.4483,77.78
69,5,0.4211,0.4211,0.7105,0.5948,76.92
41,7,0.478,0.478,0.739,0.6346,76.19
52,7,0.4382,0.4382,0.7191,0.6067,75.0
62,7,0.3172,0.3172,0.6586,0.522,75.0
17,2,0.5694,0.5694,0.7847,0.6986,75.0
24,6,0.3638,0.3638,0.6819,0.5546,75.0
21,6,0.4603,0.4603,0.7302,0.6222,75.0
61,7,0.4639,0.4639,0.732,0.6247,73.08
15,5,0.3262,0.3262,0.6631,0.5283,72.73
70,5,0.4105,0.4105,0.7052,0.5873,72.73
26,4,0.5466,0.5466,0.7733,0.6826,72.73
49,7,0.55,0.55,0.775,0.685,72.73
50,5,0.2387,0.2387,0.6194,0.4671,72.22
36,6,0.4102,0.4102,0.7051,0.5872,72.22
23,6,0.4687,0.4687,0.7344,0.6281,71.43
20,5,0.3241,0.3241,0.662,0.5269,70.83
11,7,0.331,0.331,0.6655,0.5317,70.83
63,8,0.5633,0.5633,0.7816,0.6943,70.83
58,6,0.6598,0.6598,0.8299,0.7618,70.0
32,9,0.3806,0.3806,0.6903,0.5664,70.0
19,7,0.3573,0.3573,0.6786,0.5501,70.0
60,5,0.4267,0.4267,0.7133,0.5987,69.23
44,6,0.2954,0.2954,0.6477,0.5068,68.42
37,5,0.3523,0.3523,0.6762,0.5466,68.18
53,7,0.2439,0.2439,0.6219,0.4707,68.0
35,8,0.4928,0.4928,0.7464,0.6449,68.0
42,3,0.2647,0.2647,0.6323,0.4853,66.67
29,7,0.214,0.214,0.607,0.4498,66.67
22,5,0.4185,0.4185,0.7092,0.5929,66.67
59,5,0.6223,0.6223,0.8111,0.7356,66.67
46,6,0.5298,0.5298,0.7649,0.6709,66.67
13,4,0.313,0.313,0.6565,0.5191,66.67
25,2,0.3056,0.3056,0.6528,0.5139,66.67
48,4,0.3844,0.3844,0.6922,0.5691,65.22
8,4,0.4426,0.4426,0.7213,0.6099,65.22
64,5,0.2408,0.2408,0.6204,0.4686,65.22
18,5,0.3953,0.3953,0.6976,0.5767,65.0
40,3,0.3268,0.3268,0.6634,0.5287,63.64
28,8,0.3059,0.3059,0.653,0.5141,63.64
4,5,0.143,0.143,0.5715,0.4001,61.9
39,6,0.2864,0.2864,0.6432,0.5005,60.87
47,4,0.5165,0.5165,0.7583,0.6616,60.0
43,7,0.4475,0.4475,0.7238,0.6133,58.33
30,3,0.3702,0.3702,0.6851,0.5591,56.52
31,9,0.3247,0.3247,0.6623,0.5273,55.56
16,8,0.2825,0.2825,0.6412,0.4978,54.55
51,1,0.1258,0.1258,0.5629,0.3881,53.85
5,5,0.4085,0.4085,0.7042,0.5859,53.57
33,3,0.5945,0.5945,0.7973,0.7162,52.94
67,5,0.1802,0.1802,0.5901,0.4261,52.38
56,7,0.5638,0.5638,0.7819,0.6947,51.85
71,5,0.3447,0.3447,0.6724,0.5413,50.0
55,2,0.3531,0.3531,0.6766,0.5472,42.86
38,4,0.2753,0.2753,0.6377,0.4927,36.84
34,5,0.3522,0.3522,0.6761,0.5465,33.33
