variable,n,mean,std,min,q25,median,q75,max,range,iqr
q1_score,62,66.56145161290323,10.579034454496478,33.33,62.335,68.09,72.73,86.36,53.03,10.395000000000003
mean_correct,62,0.6090516129032258,0.1790077686215436,0.0,0.5,0.6000000000000001,0.7000000000000001,1.0,1.0,0.20000000000000007
mean_SAC_correct_scalar,61,0.07700163934426228,0.11307820817440656,-0.19410000000000002,0.0036000000000000003,0.08420000000000001,0.15760000000000002,0.33430000000000004,0.5284000000000001,0.15400000000000003
mean_SAC_correct_vec,61,0.3509065573770492,0.11534168785085537,0.1066,0.2826,0.34400000000000003,0.4166,0.6134000000000001,0.5068,0.134
mean_SAC_correct_vec_both,61,0.38930819672131145,0.12699823397076823,0.1258,0.3059,0.3806,0.46390000000000003,0.7047,0.5789,0.15800000000000003
mean_SAC_total_scalar,62,0.08336935483870969,0.08935935480619935,-0.1216,0.022575,0.0905,0.13745000000000002,0.2768,0.3984,0.11487500000000002
mean_SAC_total_vec,62,0.3342564516129031,0.09609980061897015,0.0964,0.275575,0.33910000000000007,0.3925,0.5436,0.4472,0.116925
mean_SAC_total_vec_both,62,0.37955000000000005,0.10676843296915303,0.1075,0.3206,0.38825,0.4427,0.6082000000000001,0.5007,0.12209999999999999
weighted_score_50_50,62,0.4943032258064516,0.09964050787253002,0.1751,0.44427500000000003,0.49255000000000004,0.541825,0.7847000000000001,0.6096,0.09754999999999997
weighted_score_30_70,62,0.4483983870967741,0.08767362444649705,0.2452,0.39440000000000003,0.4475,0.49197500000000005,0.6986,0.4534,0.09757500000000002
