subject_id,rows_after_removing_3_4_5,questionnaire_1_score,image_questionnaire_score_vec_both,image_answer_rows,image_questions_answered,has_questionnaire_1,has_image_questionnaire
8,4,65.22,0.4872142857142857,7.0,7.0,True,True
11,7,70.83,0.35431,10.0,10.0,True,True
13,4,66.67,0.3140571428571428,7.0,7.0,True,True
14,7,83.33,0.39144,10.0,10.0,True,True
15,7,72.73,0.40609,10.0,10.0,True,True
18,7,65.0,0.35554,10.0,10.0,True,True
19,7,70.0,0.39544,10.0,10.0,True,True
20,7,70.83,0.39807,10.0,10.0,True,True
21,7,75.0,0.36553,10.0,10.0,True,True
22,7,66.67,0.42834,10.0,10.0,True,True
23,7,71.43,0.4181899999999999,10.0,10.0,True,True
24,7,75.0,0.40072,10.0,10.0,True,True
25,5,66.67,0.3196142857142857,7.0,7.0,True,True
26,7,72.73,0.41784,10.0,10.0,True,True
27,7,84.0,0.40522,10.0,10.0,True,True
29,7,66.67,0.2294,10.0,10.0,True,True
32,7,70.0,0.37146,10.0,10.0,True,True
35,7,68.0,0.45109,10.0,10.0,True,True
36,7,72.22,0.38613,10.0,10.0,True,True
37,7,68.18,0.3681999999999999,10.0,10.0,True,True
41,7,76.19,0.45097,10.0,10.0,True,True
42,6,66.67,0.2133625,8.0,8.0,True,True
44,7,68.42,0.33635,10.0,10.0,True,True
45,5,84.21,0.4262714285714285,7.0,7.0,True,True
46,7,66.67,0.48478,10.0,10.0,True,True
49,7,72.73,0.49887,10.0,10.0,True,True
50,7,72.22,0.26884,10.0,10.0,True,True
52,7,75.0,0.38023,10.0,10.0,True,True
53,7,68.0,0.2373199999999999,10.0,10.0,True,True
54,7,86.36,0.51485,10.0,10.0,True,True
57,7,78.26,0.2610599999999999,10.0,10.0,True,True
58,7,70.0,0.60818,10.0,10.0,True,True
59,7,66.67,0.55275,10.0,10.0,True,True
60,7,69.23,0.36156,10.0,10.0,True,True
61,6,73.08,0.4775888888888889,9.0,9.0,True,True
62,7,75.0,0.3654,10.0,10.0,True,True
63,7,70.83,0.57444,10.0,10.0,True,True
64,7,65.22,0.30257,10.0,10.0,True,True
68,7,77.78,0.233925,8.0,8.0,True,True
69,7,76.92,0.47664,10.0,10.0,True,True
70,7,72.73,0.40254,10.0,10.0,True,True
